,driver_num,trip_num,v,v_r,accel,bad,prob
0,11.0,1.0,16.98504034853845,6.105267696245528,0.6144463158716515,0.0,1
111,11.0,2.0,12.541045173320757,4.798053506352568,0.6560890041423457,0.0,1
123,11.0,3.0,26.43122486184502,5.174912155892761,0.9528763289820281,0.0,1
134,11.0,4.0,20.881358837649874,5.370825797075461,0.7057472268843199,0.0,1
145,11.0,5.0,24.136853702202583,7.47607639489414,1.107668069074113,0.0,1
156,11.0,6.0,26.2660625901246,6.790919725977506,1.2013800863361634,0.0,1
167,11.0,7.0,24.688387391756272,6.2440339230085256,1.1227842702683386,0.0,1
178,11.0,8.0,22.278495842212717,6.872698241960171,0.6252516203057912,0.0,1
189,11.0,9.0,7.228190946060548,3.5901791028655734,0.6798687075941281,0.0,1
1,11.0,10.0,26.187095896029305,7.025815569648547,1.4585538991742624,0.0,1
12,11.0,11.0,21.979228950208643,6.128829054860493,0.9089291692170001,0.0,1
23,11.0,12.0,27.5963408652052,8.526056798334274,1.2935961671423044,0.0,1
34,11.0,13.0,12.541461920704473,6.660317213225453,0.8288018054300554,0.0,1
45,11.0,14.0,25.173262371923332,5.917717948972348,0.9235667072228777,0.0,1
56,11.0,15.0,18.909397977117713,7.215158994931763,0.7077786472123826,0.0,1
67,11.0,16.0,22.4070329007473,6.576029884442489,0.8690081344704996,0.0,1
78,11.0,17.0,21.86961288679031,6.155657584825858,1.1577038741700392,0.0,1
89,11.0,18.0,18.638194640989774,6.769070631913599,1.1863601268710937,0.0,1
100,11.0,19.0,,,,1.0,1
112,11.0,20.0,24.728219134554035,4.884810167203515,0.8499622572700005,0.0,1
114,11.0,21.0,22.922620651852636,5.884361429307677,0.9955550551717565,0.0,1
115,11.0,22.0,22.95000659064202,7.403025219739593,0.9511459245746963,0.0,1
116,11.0,23.0,21.156014684500214,5.447221792097537,0.8135490513196046,0.0,1
117,11.0,24.0,15.977063677922732,4.921593660864169,0.7996256628010556,0.0,1
118,11.0,25.0,25.368601414275012,7.726406544906433,1.2686270207296158,0.0,1
119,11.0,26.0,22.991820880429707,6.209176499328984,0.975644320613207,0.0,1
120,11.0,27.0,21.967788761235436,6.040987209435246,1.149067275657206,0.0,1
121,11.0,28.0,12.199509692760964,5.697029929465458,0.46233037173946023,0.0,1
122,11.0,29.0,10.757751692300296,6.188459296054226,0.5549104728866592,0.0,1
124,11.0,30.0,22.105405220846105,7.049067053956249,0.7627339438057348,0.0,1
125,11.0,31.0,13.459564580900476,5.478435847630595,0.6121333556932012,0.0,1
126,11.0,32.0,10.697144944979303,4.9019447655401,0.7116587554764298,0.0,1
127,11.0,33.0,19.66116629158072,6.974389367606622,1.1547829056051455,0.0,1
128,11.0,34.0,17.957420581416567,5.609887710159514,0.7706271105793796,0.0,1
129,11.0,35.0,21.909085605243835,5.882577861936515,1.4117922804767815,0.0,1
130,11.0,36.0,11.079942045658893,5.298147366536124,1.3059605324838062,0.0,1
131,11.0,37.0,20.513772517957836,7.092094282817385,0.7473591336279339,0.0,1
132,11.0,38.0,23.934644421070555,7.934269082261098,0.7909308749906376,0.0,1
133,11.0,39.0,22.421077514186287,4.897361312897762,0.6559490682948308,0.0,1
135,11.0,40.0,12.682239364790217,5.864617482112603,1.640783062311895,0.0,1
136,11.0,41.0,19.00624266402002,7.2477545522168745,0.8986715689619791,0.0,1
137,11.0,42.0,10.067173387158913,6.094725776766213,1.0395401607633374,0.0,1
138,11.0,43.0,24.311113861614626,6.759966379022673,1.420300348844025,0.0,1
139,11.0,44.0,24.773253349695207,1.8150190866088989,0.7992743824477877,0.0,0
140,11.0,45.0,23.135764112466575,7.511495227736393,0.82417263563738,0.0,1
141,11.0,46.0,12.611706982215576,6.339376557109375,1.382470318029144,0.0,1
142,11.0,47.0,12.698104642521143,6.24720330031118,0.8893152393978037,0.0,1
143,11.0,48.0,23.069322714414827,5.495832845534175,0.8469136627781602,0.0,1
144,11.0,49.0,9.16038045735131,6.1720078894704145,0.7624403658557721,0.0,1
146,11.0,50.0,16.685628793358454,7.016481985476683,1.1662745726719708,0.0,1
147,11.0,51.0,11.79529573316988,5.930038801706216,1.4156805650103186,0.0,1
148,11.0,52.0,24.125587758166947,6.869971557187259,1.2547174283096671,0.0,1
149,11.0,53.0,22.362255448718198,5.995344939912848,0.8357546776962081,0.0,1
150,11.0,54.0,21.52944296270731,6.980787779181684,1.1665751818810381,0.0,1
151,11.0,55.0,13.475140582393962,6.7674751279202665,0.9538827665558234,0.0,1
152,11.0,56.0,21.44056166252718,6.805980649129979,0.7005260231955344,0.0,1
153,11.0,57.0,22.274625595656484,6.767670520783871,0.7194308736990376,0.0,1
154,11.0,58.0,25.498887528008744,6.924706338940581,0.8284968400043908,0.0,1
155,11.0,59.0,26.088772346831878,8.668211781345931,1.076065287967669,0.0,1
157,11.0,60.0,26.537210156335966,7.524046967232872,1.0045956049222546,0.0,1
158,11.0,61.0,24.414050807030964,7.379565899059472,1.2784020200229804,0.0,1
159,11.0,62.0,14.354872216260542,5.6183933054053945,0.6844532298626333,0.0,1
160,11.0,63.0,21.84737386155051,8.102653681055598,0.8880481344007567,0.0,1
161,11.0,64.0,23.90062413488647,6.0641090714969685,0.7951997366616954,0.0,1
162,11.0,65.0,21.64777296703883,5.638638186629242,0.6627124389942471,0.0,1
163,11.0,66.0,13.92046402563622,6.392282753620755,0.9933230398222488,0.0,1
164,11.0,67.0,10.145352581790235,4.622790259471508,0.6063303966097369,0.0,1
165,11.0,68.0,13.977209163726494,7.700695067314043,0.9422176278727612,0.0,1
166,11.0,69.0,24.153331878519182,5.752912902714115,1.05382153403556,0.0,1
168,11.0,70.0,22.027887911424635,8.324819509150675,0.9671581476185285,0.0,1
169,11.0,71.0,20.94343917938607,6.548288882097894,0.8006132152155576,0.0,1
170,11.0,72.0,25.94156461358204,4.0328999039067845,1.0152876201752736,0.0,1
171,11.0,73.0,9.498865000412097,5.292704437593907,1.0125300367017358,0.0,1
172,11.0,74.0,,,,1.0,1
173,11.0,75.0,8.586137834666367,4.628796877171035,0.90546560275987,0.0,1
174,11.0,76.0,,,,1.0,1
175,11.0,77.0,22.12377225655818,7.235690833780712,0.7069968148852004,0.0,1
176,11.0,78.0,13.714540733005132,6.120691759544925,0.8832010967925399,0.0,1
177,11.0,79.0,10.44715478806276,5.783041670454862,0.6833584912820871,0.0,1
179,11.0,80.0,13.848315686917553,8.734908841919733,0.5981609897566278,0.0,0
180,11.0,81.0,24.875375184931052,5.313909958715686,0.8020540222579466,0.0,1
181,11.0,82.0,24.14482478468781,7.373759309406045,1.0675464641845522,0.0,1
182,11.0,83.0,23.879800326030484,6.509881938011793,0.8775500608020197,0.0,1
183,11.0,84.0,22.756061620974062,6.742407085389732,1.0602840642016655,0.0,1
184,11.0,85.0,12.63866821287569,5.646869926888185,1.287329683941036,0.0,1
185,11.0,86.0,24.55348329376454,6.536995623499788,1.0657302675178135,0.0,1
186,11.0,87.0,12.18746672757,6.1875808041577605,1.1360169789213224,0.0,1
187,11.0,88.0,24.624292855413728,6.673976585986619,0.837006137024904,0.0,1
188,11.0,89.0,24.558238835372084,2.153582835864772,0.9830769152810852,0.0,0
190,11.0,90.0,10.329880724459839,4.454894846792244,0.5669663271974876,0.0,1
191,11.0,91.0,20.606585695170214,5.583367508622203,0.976452340425646,0.0,1
192,11.0,92.0,12.349353565143614,6.090874860706213,1.3018706740094999,0.0,1
193,11.0,93.0,9.214547491023724,5.659698155857018,0.9082190289407936,0.0,1
194,11.0,94.0,20.359604933816435,8.445462572439308,1.3614785140966372,0.0,1
195,11.0,95.0,26.837531602907628,7.182383349189002,1.408072873326411,0.0,1
196,11.0,96.0,21.246696573057218,5.975441950195597,0.880219912388748,0.0,1
197,11.0,97.0,,,,1.0,1
