,driver_num,track_num,v,a,v_r,accel
0,3.0,1.0,14.155608938280116,1.3561059471737966,9.267317133552076,1.0977440906185372
111,3.0,2.0,15.342943994686651,1.6919461642131068,8.876347312043501,1.6117568019521809
123,3.0,3.0,15.73240360314569,1.5539402676398293,9.465199576196747,0.8395479119045106
134,3.0,4.0,13.006342071012847,1.3472579803648213,9.815196206637118,0.8779445626753475
145,3.0,5.0,15.033082513967601,1.4361171811993554,9.447904787473377,1.2972008756981648
156,3.0,6.0,24.336458540858604,0.9999474850873895,7.168484088626622,1.241669245155327
167,3.0,7.0,15.88992977170339,1.4042662750060941,9.36198887343994,1.2950783926907796
178,3.0,8.0,10.31295042578873,1.4217881477949952,6.654213109139118,1.244055326927441
189,3.0,9.0,15.846407165540219,1.3052969490181816,8.697262894294601,1.3549681503975854
1,3.0,10.0,16.714969904346848,0.3727308842276855,4.135873121415547,0.4491936736949018
12,3.0,11.0,16.28703513610192,1.3045639064754475,8.578564984225217,1.381104353480767
23,3.0,12.0,10.354927914460259,1.4288902322409247,7.095819975668811,1.0760321285879835
34,3.0,13.0,13.05267021047557,1.0569808544994581,8.940363779455716,1.0788563699824092
45,3.0,14.0,17.391298215726497,0.9901044121670237,8.896582825288167,1.0175695554012556
56,3.0,15.0,13.223293066146018,0.7721116157203038,9.5717798622817,0.6288853780199419
67,3.0,16.0,14.626158741596845,1.1969387770785236,8.088210469629306,1.2001368092172253
78,3.0,17.0,9.168683910979949,1.0122370303631216,7.113844390093689,0.9667668532037617
89,3.0,18.0,23.098115445517287,1.180635463353008,9.145997089713164,1.4113231376862867
100,3.0,19.0,12.713922862430609,1.4315213050944706,8.776946800166513,0.9248237893297473
112,3.0,20.0,11.863906632624841,1.3808171408464158,8.319531793997852,1.1178907091162156
114,3.0,21.0,6.927386709179393,1.237454783084325,6.698502242451447,1.0332570653650315
115,3.0,22.0,16.600008055045308,1.7537787200269879,11.470145093960783,1.7537787200269879
116,3.0,23.0,13.32284767036547,1.3192623729743467,5.878344293643237,1.077994308168634
117,3.0,24.0,11.984179670876681,1.4577344523126095,6.40515288242358,1.609787857713334
118,3.0,25.0,12.774128264442938,1.7790096082683098,7.98155068518169,1.84143135599109
119,3.0,26.0,13.247968562353464,1.1901964010589818,7.5625635656935035,0.7632762738874845
120,3.0,27.0,8.815596555865342,0.8820719349229229,6.97326591067114,1.112390315980777
121,3.0,28.0,14.757456091968159,1.015113390500101,8.497990018980436,1.0132357655176154
122,3.0,29.0,16.37621969392049,1.3328254528947694,8.889577434207121,0.9523557373698814
124,3.0,30.0,13.763943908797456,1.1494747560733778,5.390861553498412,0.9548584305536796
125,3.0,31.0,13.120341320781316,1.426998640735036,8.622297838481762,1.4497146235156642
126,3.0,32.0,16.56816461182412,1.3627379568728486,7.805777534115784,1.4272212814615575
127,3.0,33.0,13.831951597079728,1.2956675030747675,8.833919344192449,0.9671122004065698
128,3.0,34.0,8.008997444309971,2.056724836011005,5.504120699504657,1.1595998365718234
129,3.0,35.0,13.808423310775547,1.5714850482793672,9.115433114931827,1.394923786624405
130,3.0,36.0,14.018057768746388,1.2889555196658655,8.002075334044271,0.9690367442863881
131,3.0,37.0,11.54653006968862,1.3351921004631504,8.231004797629435,1.3240578234070917
132,3.0,38.0,11.74977347786237,1.130563717834467,6.414601246464776,0.941475682688397
133,3.0,39.0,14.259192488761537,1.8088775967453463,9.39365931348632,1.6082282349181085
135,3.0,40.0,14.437798183664954,1.4444678405467197,8.655228671763888,1.215225641753988
136,3.0,41.0,13.796723307204342,1.4439935937950388,10.037563174930549,1.131430441838834
137,3.0,42.0,15.28546876352022,1.7347268710614898,8.147563779345914,1.5264557907062102
138,3.0,43.0,13.9968682161058,1.457267161053581,9.4691086638889,1.1814250496744645
139,3.0,44.0,12.150307650645514,0.8913679852517173,9.21748590887712,0.4970108405264675
140,3.0,45.0,15.994100420569444,1.4434397579262956,9.148028346241915,1.2988093421595446
141,3.0,46.0,12.936119272317468,1.5404695643597588,7.963974148322294,1.3311399711692502
142,3.0,47.0,14.792631879271458,1.25546046245291,7.174071349430455,1.25546046245291
143,3.0,48.0,13.698166225453365,1.30997111426041,8.835918735804983,1.2915545894663936
144,3.0,49.0,13.181281412139185,1.52355101977337,9.883200655977197,0.9961817313574031
146,3.0,50.0,15.435212195487635,1.52554951080689,8.646008596392488,1.4030509046355313
147,3.0,51.0,13.249524766364802,1.6031762819646342,9.15066718270087,1.6715951287062523
148,3.0,52.0,14.067616605373471,1.2224369846367988,9.805040567054894,1.2105004836622122
149,3.0,53.0,10.664447812558205,2.1485530920912783,6.996476978129374,1.7580892092149893
150,3.0,54.0,15.920871175864065,1.7564080796858228,9.853839223401714,1.009031949157281
151,3.0,55.0,15.455095555613443,1.3610679248523514,9.544873102791701,1.3576523619266485
