User	под	here	want	how	rt	ru	re	that	если	than	меня	спасибо	очень	время	has	right	for	support	может	time	love	working	всегда	все	so	его	2	s	теперь	with	an	as	at	тоже	to	много	via	more	он	об	к	от	see	d	всё	be	by	into	up	us	m	видео	try	video	let	great	next	о	this	москве	по	2011	без	should	ve	ли	мне	work	then	they	just	do	we	com	the	мы	thanks	got	есть	was	кстати	can	still	not	now	ну	но	ни	3	нет	using	your	только	you	как	этот	тут	сейчас	a	help	soon	7	где	будет	нужно	просто	some	россии	после	пока	i	twitter	sorry	new	у	было	года	уже	don	19	00	is	it	in	if	make	yes	www	со	надо	более	mac	first	11	10	beta	get	они	ты	4	завтра	или	то	еще	27	я	бы	когда	8	lion	что	bit	from	до	да	новый	кто	ly	day	вы	ipad	have	ios	like	about	but	нам	нас	would	my	free	всех	всем	день	no	вас	ll	вам	iphone	today	1	из	and	sure	вот	ничего	on	of	or	there	5	all	what	version	так	там	это	про	store	через	are	можно	сегодня	live	лучше	apple	app	use	something	our	out	для	update	за	же	will	know
diphost_ru	0	0	0	0	0	9	0	0	3	0	2	3	2	5	0	0	0	0	2	0	0	0	1	2	0	1	2	1	0	0	0	0	0	0	0	1	0	0	1	3	9	3	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	3	0	7	11	3	1	0	0	2	2	0	0	0	0	0	0	0	0	27	0	0	3	0	4	0	0	0	0	5	8	3	0	7	0	0	9	0	4	1	3	2	1	0	0	0	1	6	0	1	0	1	1	3	0	0	0	0	15	4	0	4	0	2	3	0	0	0	0	0	0	2	1	1	2	0	0	0	1	0	0	1	0	0	1	1	8	1	0	1	1	0	0	0	18	0	0	3	14	2	4	0	0	2	0	0	0	0	0	0	6	7	0	0	0	0	1	0	0	2	0	3	0	0	2	6	0	0	4	2	0	0	0	0	1	0	0	0	5	6	14	0	0	2	0	2	0	0	1	0	0	0	0	0	0	5	0	6	0	0	0
Ru_Compromat	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	5	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	3	0	2	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	1	0	0	0	0	9	1	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	1	0	0	0	5	0	0	1	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	9	0	0	0
urgantcom	3	0	0	0	0	1	0	0	4	0	8	4	0	3	0	0	0	0	2	0	0	0	0	1	0	3	0	2	2	0	0	0	0	0	0	0	0	0	6	1	5	7	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	7	0	0	0	0	0	6	0	0	0	0	0	0	0	0	4	0	0	1	0	2	0	0	0	0	11	3	1	1	4	0	0	0	0	10	2	3	3	0	0	0	3	1	6	0	3	0	1	3	1	0	0	0	0	5	0	0	1	0	1	4	1	0	0	0	0	0	1	1	1	0	0	0	3	2	0	0	1	4	0	1	0	11	0	0	31	2	2	1	0	15	0	0	6	8	1	2	0	0	4	0	0	0	0	0	0	0	4	0	0	0	3	3	1	0	7	0	4	0	0	1	4	0	0	4	2	0	0	0	0	0	0	0	0	3	0	6	2	0	0	0	1	5	0	2	0	0	0	0	0	0	4	0	7	6	0	0
1Password	0	0	1	0	0	0	7	26	0	0	0	0	0	0	0	5	25	6	0	1	2	1	0	0	6	0	3	10	0	10	6	3	3	0	29	0	1	1	0	0	0	0	4	2	0	11	1	3	0	4	1	0	6	0	1	4	1	0	8	0	0	0	0	8	4	0	0	3	3	0	2	4	9	1	60	0	14	3	0	1	0	8	1	11	4	0	0	0	11	0	5	6	0	60	0	0	0	0	13	3	1	0	0	0	0	0	1	0	0	0	16	1	10	2	0	0	0	0	2	0	0	21	18	24	10	3	7	0	0	0	0	5	0	0	0	14	1	0	0	0	0	0	0	0	0	0	0	0	6	3	0	0	2	0	0	0	0	0	0	0	1	15	2	3	2	5	0	0	3	7	0	0	0	0	9	0	4	0	1	2	0	0	19	5	0	0	12	9	1	4	2	2	2	11	0	0	0	0	4	0	9	0	0	0	0	1	4	3	4	10	1	0	13	0	0	8	3
znaeteli	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	2	0	2	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	3	0	1	0	6	0	2	0	0	2	81	0	0	0	0	5	81	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
PremierRussia	0	0	0	0	1	1	0	0	4	0	3	2	3	2	0	0	0	0	5	0	0	0	1	8	0	9	3	0	0	0	0	0	0	7	0	0	1	0	11	1	5	3	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	6	1	4	0	0	1	6	0	0	0	0	0	0	0	1	9	0	0	4	0	0	0	0	0	0	3	8	0	1	2	0	0	7	0	8	1	1	0	0	0	0	0	2	1	2	1	0	5	2	2	0	1	0	1	5	0	3	9	0	0	0	0	0	0	0	0	0	1	0	4	0	0	0	1	0	0	0	2	1	0	2	3	6	4	0	15	0	4	0	0	22	0	0	4	3	0	3	0	0	5	1	0	0	0	0	0	2	4	0	0	0	2	3	1	0	1	0	1	0	0	3	10	0	0	2	2	0	0	0	0	3	0	0	0	3	3	8	0	0	1	0	1	16	0	0	0	0	0	0	0	0	1	0	9	3	0	0
dzvlad	0	0	0	0	0	0	0	0	8	0	4	2	3	1	0	0	2	0	1	0	0	0	3	5	1	2	5	4	3	0	1	0	0	1	1	1	0	0	2	0	4	7	0	5	4	0	0	0	0	0	0	2	0	0	0	0	0	2	2	1	6	0	0	0	1	1	5	1	0	1	0	0	0	1	6	0	0	1	4	0	2	0	0	0	0	1	7	1	1	1	0	0	5	3	10	3	1	1	3	0	0	0	1	6	1	5	0	0	2	1	1	1	0	0	8	1	1	4	1	1	2	2	2	1	0	0	0	0	2	1	0	1	0	1	0	0	0	2	4	3	0	1	12	1	0	22	0	5	3	0	16	0	2	1	3	1	1	0	0	3	1	1	0	0	0	0	1	1	0	0	0	0	0	3	0	0	0	0	2	0	0	1	2	0	1	0	2	3	0	0	0	0	0	0	3	3	11	3	0	1	2	1	0	0	0	0	0	0	0	0	1	4	0	8	9	0	0
gp_russia	0	0	0	0	6	2	0	0	1	0	0	4	0	1	0	0	0	0	1	0	0	0	0	5	0	1	2	0	1	0	0	0	0	1	0	0	1	0	1	3	1	5	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	2	0	3	6	0	0	0	0	1	0	0	0	0	0	0	0	0	0	9	0	0	1	0	0	0	0	0	0	0	1	0	5	4	0	0	2	0	4	3	0	1	0	0	0	1	1	0	3	0	0	2	0	1	0	0	0	0	5	0	2	0	0	2	3	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	1	0	2	3	1	8	0	0	3	1	1	0	9	0	0	3	2	0	5	0	0	15	0	0	0	0	0	0	2	1	0	0	0	1	3	6	0	5	0	5	0	0	3	11	0	0	1	2	0	0	0	0	3	0	0	0	1	0	6	0	0	1	0	0	2	0	1	0	0	0	0	0	0	9	0	11	2	0	0
dugwin	2	0	0	0	0	2	0	0	3	0	5	0	6	0	0	0	1	0	0	1	0	0	1	2	0	3	0	1	1	0	0	0	0	4	1	0	0	0	3	2	1	1	1	0	4	1	1	0	0	0	0	0	0	0	0	0	0	3	0	0	8	0	0	0	0	1	2	0	0	0	0	0	1	0	1	2	0	0	0	0	3	0	0	0	0	9	5	2	1	1	0	0	1	1	3	1	1	0	0	0	0	0	4	3	0	4	0	0	1	2	2	0	0	0	6	5	0	2	0	0	0	0	0	1	0	0	0	3	0	6	1	0	0	0	0	1	0	3	5	0	0	2	11	0	0	16	4	1	0	0	9	0	0	3	10	1	6	0	0	3	0	0	0	0	0	0	0	2	0	0	0	0	0	3	0	0	1	0	0	0	1	3	0	0	7	1	1	1	0	0	0	0	0	0	2	6	17	4	0	2	0	0	2	0	2	0	0	0	0	0	0	4	0	4	6	0	0
YotaEgg	1	0	0	0	26	15	0	0	1	0	8	2	1	0	0	0	0	0	0	0	0	0	3	3	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	4	6	0	0	4	0	0	0	0	0	0	3	0	0	0	0	0	1	0	1	4	0	0	0	0	1	1	0	0	0	0	0	0	6	0	3	0	0	4	0	1	0	0	0	0	1	2	0	2	1	0	0	1	0	5	2	3	0	1	0	0	2	0	1	0	1	0	0	0	0	0	0	0	0	3	2	0	0	0	0	0	0	0	0	0	0	0	1	3	2	0	0	0	1	0	0	0	0	0	0	1	2	3	0	0	5	2	1	1	0	5	11	0	1	2	0	0	22	0	5	0	0	0	0	0	0	1	1	0	0	0	0	1	3	0	2	0	2	2	0	0	2	0	0	1	0	0	0	0	0	2	0	0	0	0	0	6	5	0	6	0	8	3	0	1	0	0	0	0	0	0	4	0	5	1	0	0
dfomin	0	0	1	1	12	2	0	0	3	0	4	0	2	1	0	0	1	0	1	0	0	0	0	4	0	0	4	2	1	0	0	0	1	0	4	2	0	0	0	0	4	7	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	4	1	4	5	1	2	0	0	0	0	1	0	0	1	0	0	5	0	0	0	0	0	0	0	1	0	0	0	1	2	2	2	2	0	1	1	3	4	0	0	0	0	0	0	2	0	3	2	1	0	3	3	0	1	0	0	2	7	0	0	2	0	1	1	3	0	1	0	0	0	3	0	0	1	0	0	3	3	0	0	1	1	2	0	3	7	1	0	7	1	1	2	0	11	21	0	5	1	2	0	22	0	2	2	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	1	0	3	7	0	1	1	0	1	1	0	0	0	1	0	0	0	2	6	1	0	2	1	1	1	0	2	0	1	1	0	0	0	8	0	15	0	0	0
FBIcons	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
bookmate_ru	0	0	0	0	0	3	0	0	3	0	0	16	0	0	0	0	1	0	0	0	0	0	0	10	0	1	1	0	2	0	0	1	0	1	1	0	0	0	0	2	4	4	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	5	1	2	0	0	0	0	0	0	0	0	0	1	31	0	11	0	0	4	0	0	0	0	0	0	0	2	2	0	7	0	1	6	2	3	0	0	1	1	0	0	1	1	3	0	1	0	0	1	5	0	1	0	1	4	0	0	4	0	0	0	0	0	1	0	0	0	2	1	0	1	0	0	1	0	0	0	1	0	0	0	6	0	2	0	0	0	0	0	0	4	6	0	1	1	1	0	6	0	4	3	0	3	1	0	0	16	3	0	0	0	0	2	1	0	3	0	4	0	0	0	2	0	0	2	0	1	0	0	0	2	0	0	0	2	2	3	1	0	1	0	10	2	0	3	0	0	0	0	0	0	13	0	3	2	0	0
iphone_mforum	3	0	0	0	9	0	0	0	4	0	1	4	2	0	0	0	1	0	0	0	0	0	0	6	0	0	7	1	5	0	0	0	0	2	1	5	0	0	1	0	4	3	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	3	7	0	2	0	0	0	0	0	0	0	0	1	0	3	2	6	0	0	3	0	1	0	0	0	0	2	4	2	3	2	0	0	6	0	0	2	0	1	0	0	0	0	1	3	1	1	0	1	1	3	0	1	0	0	11	2	2	7	0	1	3	0	0	0	0	0	0	0	1	0	2	0	0	1	1	0	0	2	0	10	2	2	5	4	0	1	2	0	0	0	5	36	0	3	4	10	2	37	0	1	13	0	9	0	0	0	0	6	0	1	0	2	2	3	0	1	0	3	27	0	3	1	0	0	3	2	0	1	0	0	4	0	0	0	0	1	6	5	2	4	0	5	6	0	0	4	1	0	0	0	0	22	0	11	3	0	0
tastyapps	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
reederapp	0	4	3	2	0	0	1	23	0	1	0	0	0	0	4	2	34	4	0	4	2	3	0	0	1	0	7	25	0	9	5	8	6	0	34	0	0	2	0	0	0	0	8	0	0	15	2	6	0	0	1	0	2	0	0	2	7	0	25	0	0	0	0	11	0	0	0	4	4	0	13	6	1	2	47	0	4	4	0	2	0	7	7	12	7	0	0	0	2	0	2	2	0	12	0	0	0	0	16	2	3	0	0	0	0	0	5	0	0	0	22	0	9	7	0	0	0	0	4	0	0	18	30	16	3	1	21	0	0	0	0	14	0	0	0	10	2	0	0	1	0	0	0	0	0	0	0	0	0	4	0	1	1	0	0	0	0	1	1	0	5	8	2	4	3	9	0	0	0	8	0	0	0	0	5	0	4	0	5	1	31	0	15	4	0	0	12	13	5	8	6	4	4	7	0	0	0	0	2	0	9	0	0	2	0	0	11	2	0	0	6	0	3	0	0	6	3
MedvedevRussia	2	0	0	0	0	6	0	0	1	0	2	12	6	1	0	0	0	0	2	1	0	0	2	6	0	0	0	0	2	0	0	0	0	2	0	3	0	0	0	2	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	3	7	1	2	0	0	0	2	0	0	0	0	0	0	14	0	7	0	0	3	0	1	0	0	0	0	1	6	0	1	1	0	0	4	0	6	1	0	1	0	0	0	0	1	4	3	0	0	5	1	0	0	1	0	0	0	3	3	2	0	0	0	0	0	1	0	0	0	0	5	1	0	0	0	0	2	0	0	0	0	1	3	0	2	6	0	3	1	0	0	0	7	6	0	0	0	0	13	6	0	4	0	0	0	0	0	0	2	0	0	0	0	5	18	2	0	1	0	4	1	0	0	4	0	0	2	0	0	0	0	0	0	0	0	0	6	1	6	1	0	0	0	0	10	0	0	0	0	0	0	0	0	6	0	9	0	0	0
devakaru	2	0	0	0	9	5	0	0	2	0	1	5	1	0	0	0	0	0	3	0	0	0	0	5	0	1	1	0	0	0	0	0	0	3	1	1	2	0	3	1	5	1	0	1	3	1	0	0	0	0	0	0	0	0	0	0	0	3	0	2	11	2	2	0	0	1	3	0	0	0	0	0	0	2	1	0	0	0	5	0	1	0	0	0	0	3	4	0	0	0	0	0	3	0	7	1	0	2	0	0	0	0	1	5	1	2	0	0	3	1	0	2	0	0	3	1	1	0	0	0	0	0	2	0	0	0	0	0	1	2	3	0	0	0	1	0	0	3	1	0	0	9	3	1	0	8	4	3	0	0	8	0	0	0	9	0	4	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	3	0	0	0	0	1	2	0	0	2	0	0	0	0	0	0	1	0	0	2	2	5	1	0	3	0	3	3	0	2	0	0	0	0	1	0	7	0	4	3	1	0
themacbuzzer	0	5	3	1	0	0	0	6	0	0	0	0	0	0	5	2	40	3	0	4	0	2	0	0	9	0	5	11	0	7	7	10	40	0	49	0	0	13	0	0	0	0	0	0	0	10	4	0	7	5	0	0	1	0	3	3	4	0	8	0	0	0	0	2	0	0	0	2	4	2	15	4	13	35	103	0	3	8	0	0	0	5	3	6	34	0	0	0	1	0	0	27	0	23	0	0	0	0	15	5	3	0	0	0	0	0	1	0	0	0	6	2	1	6	0	0	0	0	8	7	0	21	28	16	4	0	1	33	0	0	0	15	3	1	3	0	53	0	0	6	0	0	0	0	2	0	0	0	0	0	0	1	4	0	0	0	0	2	3	0	0	3	0	4	4	7	0	0	0	0	12	0	0	0	6	0	0	0	0	2	9	0	26	1	0	0	21	19	6	3	2	12	3	0	0	0	0	0	10	0	7	0	0	0	0	0	10	0	7	4	13	0	2	0	0	10	1
book_ru	0	0	0	0	0	18	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	1	1	0	4	2	0	1	1	0	0	1	0	0	1	2	0	2	1	3	2	0	0	0	0	0	0	0	0	0	2	0	6	0	0	0	12	0	0	28	3	0	0	0	0	0	0	0	0	0	0	0	2	3	0	0	0	2	0	0	0	0	0	0	0	2	0	1	1	0	0	3	0	4	1	0	1	0	0	0	1	1	2	0	0	0	1	1	0	0	2	0	0	13	3	2	1	0	1	0	0	0	0	0	0	0	2	0	0	3	0	0	1	2	0	0	1	0	1	0	1	3	1	0	4	2	3	1	0	7	5	0	0	1	1	5	5	0	4	0	0	0	0	0	0	0	1	0	0	0	1	2	2	0	1	0	1	0	0	2	9	2	0	0	1	0	0	0	0	2	0	0	0	1	0	2	0	0	1	0	0	1	0	0	0	0	0	0	0	0	3	0	5	2	0	0
squirrelapp	0	5	0	1	0	0	8	11	0	1	0	0	0	0	2	0	23	9	0	1	0	4	0	0	1	0	8	8	0	4	6	9	3	0	34	0	2	5	0	0	0	0	1	0	0	13	2	0	3	8	3	0	2	0	3	1	7	0	5	0	0	0	0	7	3	0	0	5	1	3	7	1	31	12	58	0	4	4	0	2	0	9	7	9	8	0	0	0	3	0	1	10	0	28	0	0	0	0	25	1	5	5	0	0	0	0	3	0	0	0	16	2	1	8	0	0	0	0	2	0	0	23	27	12	9	3	5	2	0	0	0	10	2	0	0	7	5	0	0	5	0	0	0	0	0	0	0	0	16	4	0	6	1	0	0	0	0	6	0	0	2	11	2	0	7	7	0	0	1	1	0	0	0	0	3	0	13	0	2	2	3	0	17	2	0	0	22	13	2	5	4	3	2	7	0	0	0	0	8	0	4	0	0	0	0	6	11	0	2	2	9	0	16	0	0	9	4
